下,カ・ゲ・した・しも・もと・さ.げる・さ.がる・くだ.る・くだ.り・くだ.す・~くだ.す・くだ.さる・お.ろす・お.りる,KA / GE / shita / shimo / moto / sa.geru / sa.garu / kuda.ru / kuda.ri / kuda.su / -kuda.su / kuda.saru / o.rosu / o.riru,below; down; descend; give; low; inferior
六,ロク・リク・む・む.つ・むっ.つ・むい,ROKU / RIKU / mu / mu.tsu / mu.tsu / mui,six
八,ハチ・や・や.つ・やっ.つ・よう,HACHI / ya / ya.tsu / ya.tsu / you,eight; eight radical (no. 12)
外,ガイ・ゲ・そと・ほか・はず.す・はず.れる・と~,GAI / GE / soto / hoka / hazu.su / hazu.reru / to-,outside
子,シ・ス・ツ・こ・~こ・ね,SHI / SU / TSU / ko / -ko / ne,child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac
円,エン・まる.い・まる・まど・まど.か・まろ.やか,EN / maru.i / maru / mado / mado.ka / maro.yaka,circle; yen; round
高,コウ・たか.い・たか・~だか・たか.まる・たか.める,KOU / taka.i / taka / -daka / taka.maru / taka.meru,tall; high; expensive
日,ニチ・ジツ・ひ・~び・~か,NICHI / JITSU / hi / -bi / -ka,day; sun; Japan; counter for days
入,ニュウ・ジュ・い.る・~い.る・~い.り・い.れる・~い.れ・はい.る,NYUU / JU / i.ru / -i.ru / -i.ri / i.reru / -i.re / hai.ru,enter; insert
九,キュウ・ク・ここの・ここの.つ,KYUU / KU / kokono / kokono.tsu,nine
金,キン・コン・ゴン・かね・かな~・~がね,KIN / KON / GON / kane / kana- / -gane,gold
今,コン・キン・いま,KON / KIN / ima,now
四,シ・よ・よ.つ・よっ.つ・よん,SHI / yo / yo.tsu / yo.tsu / yon,four
東,トウ・ひがし,TOU / higashi,east
上,ジョウ・ショウ・シャン・うえ・~うえ・うわ~・かみ・あ.げる・~あ.げる・あ.がる・~あ.がる・あ.がり・~あ.がり・のぼ.る・のぼ.り・のぼ.せる・のぼ.す・たてまつ.る,JOU / SHOU / SHAN / ue / -ue / uwa- / kami / a.geru / -a.geru / a.garu / -a.garu / a.gari / -a.gari / nobo.ru / nobo.ri / nobo.seru / nobo.su / tatematsu.ru,above; up
間,カン・ケン・あいだ・ま・あい,KAN / KEN / aida / ma / ai,interval; space
